File name,Numeber of lines
50008.txt, 6351
50012.txt, 1565
50040.txt, 3525
5001.txt, 4065
5002.txt, 8233
5003.txt, 8396
5004.txt, 6482
5005.txt, 13315
5006.txt, 10605
5007.txt, 11559
5008.txt, 12060
5009.txt, 7684
50064.txt, 9752
50072.txt, 4010
50073.txt, 690
50079.txt, 4543
50082.txt, 7281
50087.txt, 3124
50091.txt, 8621
50092.txt, 2875
50101.txt, 2201
50129.txt, 6125
50138.txt, 6125
50148.txt, 5955
50151.txt, 8668
50153.txt, 1497
50155.txt, 1059
5010.txt, 2186
5011.txt, 1157
5012.txt, 2450
5013.txt, 2608
5014.txt, 4527
5015.txt, 3501
5016.txt, 8844
50166.txt, 8310
50186.txt, 7430
50194.txt, 5777
50217.txt, 5707
50224.txt, 3725
50227.txt, 1998
50236.txt, 1958
50238.txt, 4785
50259.txt, 5727
5020.txt, 1152
5021.txt, 3400
5022.txt, 4379
5023.txt, 5690
5024.txt, 3297
5025.txt, 4114
5026.txt, 6762
5027.txt, 3795
5028.txt, 2807
5029.txt, 11811
50275.txt, 6229
50302.txt, 16494
50309.txt, 6085
50312.txt, 9856
50317.txt, 10906
50322.txt, 969
50338.txt, 979
50349.txt, 2909
50357.txt, 6087
5030.txt, 5611
5031.txt, 7070
5032.txt, 15370
5033.txt, 7424
5034.txt, 3609
5035.txt, 1584
5036.txt, 5790
5037.txt, 2945
5038.txt, 5689
5039.txt, 8011
50374.txt, 9129
50400.txt, 5972
50410.txt, 2218
50425.txt, 7317
50431.txt, 6247
50449.txt, 5147
5040.txt, 6947
5041.txt, 2292
5042.txt, 4068
5043.txt, 2725
5044.txt, 1987
5045.txt, 5715
5046.txt, 3733
5047.txt, 1726
5048.txt, 6084
5049.txt, 4763
50466.txt, 1753
50483.txt, 3484
50493.txt, 16116
50500.txt, 1594
50505.txt, 6725
50520.txt, 7549
50533.txt, 4876
50535.txt, 4610
50536.txt, 7036
50545.txt, 1991
50551.txt, 17091
50553.txt, 3029
50556.txt, 8480
5050.txt, 171160
5051.txt, 10832
5052.txt, 4475
5053.txt, 3573
5054.txt, 11441
5055.txt, 10581
5056.txt, 8065
5057.txt, 9448
5058.txt, 10769
5059.txt, 10909
50561.txt, 7785
50566.txt, 3309
50577.txt, 28258
50596.txt, 11012
500.txt, 6190
502.txt, 11946
503.txt, 13933
504.txt, 3230
505.txt, 34500
506.txt, 23036
507.txt, 20797
508.txt, 9571
509.txt, 4113
50635.txt, 5836
5060.txt, 5007
5061.txt, 9456
5062.txt, 14840
5063.txt, 3693
5064.txt, 6727
5065.txt, 3276
5066.txt, 7800
5067.txt, 11471
5068.txt, 1054
5069.txt, 3128
50661.txt, 5974
50662.txt, 3008
50663.txt, 7530
50668.txt, 6482
50676.txt, 14261
50682.txt, 8021
50701.txt, 5090
50702.txt, 5541
50710.txt, 40699
50713.txt, 6013
50715.txt, 5249
50723.txt, 4578
50730.txt, 10930
50734.txt, 1317
50736.txt, 9061
50739.txt, 21474
50753.txt, 720
5070.txt, 4725
ERR.txt, 66
5071.txt, 3834
5073.txt, 12709
5074.txt, 5700
5075.txt, 11126
5076.txt, 10301
5077.txt, 13794
5078.txt, 832
5079.txt, 7176
50766.txt, 1046
50772.txt, 11076
50774.txt, 1888
50788.txt, 1983
50796.txt, 1185
50799.txt, 7057
50800.txt, 888
50802.txt, 1155
50807.txt, 11964
50818.txt, 1218
50819.txt, 744
50826.txt, 1253
50827.txt, 1339
50831.txt, 6288
50832.txt, 20166
50834.txt, 655
50835.txt, 1010
50841.txt, 2254
50842.txt, 929
50844.txt, 776
50848.txt, 1449
5080.txt, 27213
5084.txt, 14889
5085.txt, 10375
5086.txt, 13647
5087.txt, 10689
5088.txt, 17929
5089.txt, 3460
50863.txt, 8396
50868.txt, 1156
50869.txt, 1076
50872.txt, 937
50875.txt, 3696
50876.txt, 493
50877.txt, 997
50881.txt, 9116
50884.txt, 929
50889.txt, 1072
50890.txt, 909
50892.txt, 698
50893.txt, 895
50898.txt, 11881
50904.txt, 1137
50905.txt, 1685
50914.txt, 8176
50921.txt, 734
50923.txt, 2207
50928.txt, 1463
50931.txt, 2925
50932.txt, 1177
50934.txt, 1283
50935.txt, 1568
50939.txt, 5878
50941.txt, 4904
50945.txt, 1360
50948.txt, 1074
50950.txt, 5991
50955.txt, 4775
50956.txt, 1812
50958.txt, 4948
50959.txt, 717
5090.txt, 8622
5091.txt, 12399
5092.txt, 4276
5093.txt, 14685
5094.txt, 12126
5099.txt, 13105
50960.txt, 5859
50969.txt, 1607
50970.txt, 5383
50971.txt, 2037
50978.txt, 12767
50980.txt, 1049
50981.txt, 742
50988.txt, 2429
50989.txt, 1038
50998.txt, 2731
50999.txt, 2168
51004.txt, 2679
51008.txt, 724
51009.txt, 623
51027.txt, 1076
51028.txt, 780
51035.txt, 649
51037.txt, 1269
51046.txt, 958
51047.txt, 976
51053.txt, 1263
5100.txt, 7117
5102.txt, 9533
5103.txt, 10952
5106.txt, 9460
5107.txt, 9255
5108.txt, 18345
5109.txt, 17089
